"Dummy ID","Gender","Minority Status","Residency","State","County Description","Zip 3","Nation Description","Residence Hall","Division","Cognate Area"
"3.0298946E7","M","International","I","","","","China","Y","AP",""
"3.0461433E7","F","International","I","",""," ","China","Y","BU",""
"3.01983E7","F","Domestic Nonminority","R","OH","Fulton County^ OH","435","","Y","AS","Social Sciences"
"3.0143323E7","F","Domestic Nonminority","N","AP","","965","","Y","EA",""
"3.0162316E7","F","Domestic Minority","R","OH","Lake County^ OH","440","","Y","AS","Natural Sciences"
"3.0308514E7","M","Domestic Nonminority","R","OH","Hamilton County^ OH","452","","Y","AS","University Studies"
"3.0108535E7","M","Domestic Nonminority","R","OH","Hamilton County^ OH","452","","Y","EA",""
"3.0202889E7","F","Domestic Nonminority","R","OH","Clermont County^ OH","451","","Y","FA",""
"3.0145247E7","F","Domestic Nonminority","R","OH","Franklin County^ OH","430","","Y","BU",""
"3.0358057E7","M","Domestic Nonminority","R","OH","Delaware County^ OH","430","","Y","BU",""
"3.0414932E7","M","International","I","",""," ","China","Y","AS","Social Sciences"
"3.0362633E7","F","Domestic Minority","R","OH","Cuyahoga County^ OH","441","","Y","AS","Social Sciences"
"3.0095379E7","F","Domestic Nonminority","R","OH","Warren County^ OH","450","","Y","AP",""
"3.045856E7","F","Domestic Nonminority","N","IL","Cook County^ IL","600","","Y","AS","Social Sciences"
"3.0167529E7","F","Domestic Nonminority","N","IL","Du Page County^ IL","605","","Y","BU",""
"3.0247531E7","F","Domestic Nonminority","R","OH","Medina County^ OH","442","","Y","AS","Natural Sciences"
"3.0473588E7","F","International","I","",""," ","China","Y","BU",""
"3.034663E7","F","International","I","",""," ","China","Y","BU",""
"3.0402231E7","F","Domestic Nonminority","N","CA","Ventura County^ CA","913","","Y","AS","Natural Sciences"
"3.0493218E7","F","International","I","",""," ","China","Y","AS","University Studies"
"3.0516189E7","M","International","I","",""," ","China","Y","AP",""
"3.0352168E7","M","Domestic Nonminority","R","OH","Summit County^ OH","446","","Y","AS","University Studies"
"3.032661E7","M","Domestic Minority","R","OH","Marion County^ OH","433","","Y","AS","Natural Sciences"
"3.0492685E7","F","International","I","",""," ","India","Y","AP",""
"3.0403518E7","M","Domestic Nonminority","N","TN","Williamson County^ TN","370","","Y","AP",""
"3.0288442E7","M","Domestic Minority","R","OH","Union County^ OH","430","","Y","AS","Social Sciences"
"3.014201E7","M","Domestic Nonminority","R","OH","Cuyahoga County^ OH","441","","Y","BU",""
"3.0332772E7","F","Domestic Nonminority","N","GA","Fulton County^ GA","300","","Y","BU",""
"2.9965626E7","F","Domestic Nonminority","N","IL","Cook County^ IL","600","","Y","AS","Social Sciences"
"3.0358434E7","F","Domestic Nonminority","N","TX","Collin County^ TX","750","","Y","AS","Social Sciences"
"3.036951E7","M","Domestic Nonminority","R","OH","Lorain County^ OH","440","","Y","AP",""
"3.0138422E7","F","Domestic Nonminority","N","NC","Mecklenburg County^ NC","282","","Y","EA",""
"3.0306603E7","M","Domestic Minority","R","OH","Franklin County^ OH","432","","Y","AS","University Studies"
"3.0329769E7","F","Domestic Nonminority","N","IL","Lake County^ IL","600","","Y","AS","University Studies"
"3.0405377E7","M","Domestic Nonminority","N","TN","Anderson County^ TN","378","","Y","AP",""
"3.0132169E7","M","Domestic Nonminority","R","OH","Summit County^ OH","440","","Y","AS","Social Sciences"
"3.0499003E7","F","Domestic Nonminority","R","OH","Medina County^ OH","442","","Y","AS","Social Sciences"
"3.0163499E7","F","Domestic Nonminority","R","OH","Franklin County^ OH","430","","Y","AS","Social Sciences"
"3.0192931E7","F","Domestic Nonminority","N","KY","Jefferson County^ KY","402","","Y","AS","Social Sciences"
"3.0159365E7","M","International","I","",""," ","Yemen","Y","AP",""
"3.0284425E7","F","Domestic Nonminority","N","MD","Baltimore County^ MD","210","","Y","AS","Social Sciences"
"3.0157051E7","M","Domestic Nonminority","R","OH","Delaware County^ OH","430","","Y","AS","Social Sciences"
"3.0395263E7","F","Domestic Minority","R","OH","Hamilton County^ OH","452","","Y","AP",""
"3.0247427E7","F","Domestic Nonminority","R","OH","Franklin County^ OH","430","","Y","BU",""
"3.0406404E7","F","Domestic Minority","N","MN","Scott County^ MN","553","","Y","AS","University Studies"
"3.0367092E7","M","Domestic Nonminority","R","OH","Montgomery County^ OH","454","","Y","BU",""
"3.0506491E7","M","Domestic Nonminority","R","OH","Lorain County^ OH","440","","Y","AP",""
"3.0396628E7","F","Domestic Nonminority","N","NY","Westchester County^ NY","105","","Y","EA",""
"3.0327416E7","F","Domestic Minority","R","OH","Warren County^ OH","450","India","Y","BU",""
"3.0075398E7","F","Domestic Nonminority","N","MI","Wayne County^ MI","482","","Y","AP",""
"3.0115061E7","M","Domestic Nonminority","N","NC","Mecklenburg County^ NC","282","","Y","AS","University Studies"
"3.0166073E7","F","Domestic Nonminority","R","OH","Cuyahoga County^ OH","441","","Y","AS","Natural Sciences"
"3.0288403E7","F","Domestic Nonminority","R","OH","Allen County^ OH","458","","Y","AP",""
"3.0086955E7","F","Domestic Nonminority","R","OH","Warren County^ OH","450","","","AP",""
"3.0289092E7","F","Domestic Nonminority","R","OH","Stark County^ OH","446","","Y","AS","Natural Sciences"
"3.0391623E7","F","Domestic Nonminority","R","OH","Franklin County^ OH","432","","Y","FA",""
"3.0128698E7","F","Domestic Minority","R","OH","Butler County^ OH","450","","Y","AS","Social Sciences"
"3.0293005E7","M","Domestic Nonminority","N","IL","Lake County^ IL","600","","Y","BU",""
"3.0342496E7","M","Domestic Nonminority","R","OH","Montgomery County^ OH","453","","Y","AP",""
"3.0404181E7","M","Domestic Nonminority","R","OH","Cuyahoga County^ OH","441","","Y","BU",""
"3.0181348E7","F","Domestic Minority","R","OH","Hamilton County^ OH","452","Spain","Y","AS","Humanities"
"3.0186249E7","M","Domestic Nonminority","N","IL","Du Page County^ IL","601","","Y","AS","Social Sciences"
"3.0402933E7","F","Domestic Minority","N","NY","Suffolk County^ NY","117","","Y","BU",""
"3.0208895E7","F","Domestic Nonminority","N","MA","Nantucket County^ MA","025","","Y","EA",""
"3.0201667E7","F","Domestic Nonminority","N","IL","Will County^ IL","604","","Y","AP",""
"3.0372045E7","M","Domestic Nonminority","N","TX","Dallas County^ TX","752","","Y","AP",""
"3.0381418E7","F","Domestic Nonminority","R","SD","Brookings County^ SD","570","","Y","AS","Natural Sciences"
"3.0431208E7","M","International","I","","","","China","Y","BU",""
"3.0090335E7","F","Domestic Nonminority","N","CT","Fairfield County^ CT","068","","Y","AS","University Studies"
